iter	Logloss
0	0.688876387
1	0.6845327893
2	0.6814417947
3	0.6772356078
4	0.6731540902
5	0.6694993002
6	0.6660375394
7	0.6619023196
8	0.6580525187
9	0.6543967991
10	0.6510914783
11	0.6476752566
12	0.6442001228
13	0.6400424655
14	0.6364591541
15	0.6322074483
16	0.6282728089
17	0.6237837062
18	0.6203034077
19	0.6157375786
20	0.6120338131
21	0.6091131413
22	0.6056461683
23	0.6016650742
24	0.5983752502
25	0.5944432155
26	0.5914659022
27	0.5885961209
28	0.5853630836
29	0.5820988224
30	0.5789398862
31	0.5766591363
32	0.5728879361
33	0.5691348282
34	0.5664412824
35	0.5636030415
36	0.5609361681
37	0.5583311571
38	0.5553676817
39	0.5527265168
40	0.5498532875
41	0.546431547
42	0.5437582272
43	0.5410139983
44	0.53849979
45	0.5359444026
46	0.5336436079
47	0.5307337537
48	0.5287213217
49	0.5262328252
50	0.5237099529
51	0.5209297129
52	0.5189657684
53	0.5159488005
54	0.5137078003
55	0.5119978966
56	0.5094835557
57	0.505744281
58	0.5038078338
59	0.5016428617
60	0.499229757
61	0.4971477811
62	0.4947311399
63	0.4930326889
64	0.4910415338
65	0.489093543
66	0.4875559561
67	0.4857738552
68	0.4843984388
69	0.4823138056
70	0.4802969594
71	0.4783963355
72	0.4763744821
73	0.4737898666
74	0.472209775
75	0.4702445834
76	0.468514857
77	0.4667903394
78	0.4648849396
79	0.4635300467
80	0.4619417628
81	0.4604577015
82	0.4591338583
83	0.4575181917
84	0.4558740409
85	0.453376757
86	0.451281184
87	0.4493035709
88	0.4473464474
89	0.4458455295
90	0.4445261409
91	0.443007233
92	0.4412520404
93	0.4400061925
94	0.4385019427
95	0.4366645432
96	0.4349222138
97	0.4331513685
98	0.4313448899
99	0.4298006816
100	0.4283421677
101	0.4267553964
102	0.4252677789
103	0.4239296396
104	0.4223870758
105	0.4209794187
106	0.419269945
107	0.4177377172
108	0.4164012493
109	0.4151454976
110	0.4140158367
111	0.4126221705
112	0.4115384504
113	0.4098845181
114	0.4084564288
115	0.4071344281
116	0.4057112682
117	0.4047575309
118	0.4034704246
119	0.4021073157
120	0.400974442
121	0.3997040618
122	0.3985879566
123	0.3974133279
124	0.3964177186
125	0.3952257398
126	0.3942393722
127	0.3926651086
128	0.3913609735
129	0.3903690499
130	0.389409825
131	0.3884363542
132	0.3871009553
133	0.3856187625
134	0.3846476119
135	0.383550982
136	0.3826866739
137	0.3816322268
138	0.3804278496
139	0.3789884484
140	0.377849009
141	0.3769724118
142	0.3754399422
143	0.3744904952
144	0.3731016353
145	0.3719601276
146	0.3710812819
147	0.3698116369
148	0.3692163194
149	0.3682845748
150	0.3671777417
151	0.3666025145
152	0.3656742464
153	0.3650136652
154	0.3639912766
155	0.3629705073
156	0.3618040695
157	0.3609305046
158	0.3603467621
159	0.359530304
160	0.3588639352
161	0.3578071214
162	0.3572183153
163	0.3564820845
164	0.3553562862
165	0.3546202886
166	0.3532943984
167	0.3520834543
168	0.3508731154
169	0.3502429779
170	0.3496160084
171	0.3483688045
172	0.3475241196
173	0.3464495417
174	0.3458181348
175	0.3446851641
176	0.3439549511
177	0.3432367404
178	0.3424811728
179	0.3415789296
180	0.3407738232
181	0.3398729298
182	0.338980504
183	0.3382491733
184	0.3376276144
185	0.3368739195
186	0.3363574808
187	0.3355320256
188	0.3348033161
189	0.3341793787
190	0.3333990452
191	0.3323764632
192	0.3318086249
193	0.3313173023
194	0.3302779136
195	0.3295148576
196	0.3288820004
197	0.3283040088
198	0.3276539838
199	0.3275023157
200	0.326851142
201	0.3259585247
202	0.3249536888
203	0.3242936228
204	0.3237255859
205	0.3232674899
206	0.3221431168
207	0.3216128691
208	0.3207547996
209	0.3202309037
210	0.3198286912
211	0.3193229447
212	0.318898001
213	0.3180865121
214	0.3173962234
215	0.316457511
216	0.316025236
217	0.3153508063
218	0.3148781777
219	0.3144442056
220	0.3140179468
221	0.3132632817
222	0.313032593
223	0.3125773286
224	0.3120799685
225	0.3114513881
226	0.3110048912
227	0.310771179
228	0.3100879646
229	0.3090789511
230	0.3085755509
231	0.3080434683
232	0.3077908865
233	0.3073380658
234	0.3068950568
235	0.3062924199
236	0.3057687887
237	0.3054194554
238	0.3048015258
239	0.3041273577
240	0.3038217959
241	0.3034077898
242	0.3027334467
243	0.302114838
244	0.3015089391
245	0.3010589138
246	0.3004602924
247	0.2995885698
248	0.2991596391
249	0.2985800322
250	0.297841832
251	0.2972429526
252	0.2970647399
253	0.2966257121
254	0.2958346717
255	0.2952513814
256	0.2946002746
257	0.2940792379
258	0.2937519184
259	0.2931830276
260	0.2926933235
261	0.2919976271
262	0.2915404328
263	0.2908939812
264	0.2903518453
265	0.2898596963
266	0.2896484104
267	0.2893010883
268	0.2889755877
269	0.2886416479
270	0.2881956491
271	0.2873965221
272	0.2870025039
273	0.2867492473
274	0.2865131417
275	0.2864539553
276	0.2856105869
277	0.2852458581
278	0.284921501
279	0.2844478274
280	0.2843487808
281	0.2838531172
282	0.2835997074
283	0.2830852568
284	0.2825524702
285	0.2820498526
286	0.2814951833
287	0.2812601412
288	0.2808102819
289	0.2805728024
290	0.280316703
