iter	Passed	Remaining
0	59	59541
1	60	30013
2	60	20160
3	61	15229
4	61	12259
5	62	10328
6	62	8900
7	63	7825
8	63	7001
9	64	6337
10	64	5792
11	64	5329
12	65	4942
13	65	4598
14	65	4309
15	65	4057
16	66	3835
17	66	3643
18	67	3466
19	67	3307
20	67	3162
21	68	3026
22	68	2906
23	68	2804
24	69	2704
25	69	2609
26	69	2522
27	70	2443
28	70	2368
29	70	2294
30	71	2229
31	71	2169
32	72	2111
33	72	2059
34	72	2008
35	73	1959
36	73	1914
37	74	1874
38	74	1833
39	75	1804
40	75	1771
41	76	1737
42	76	1702
43	76	1669
44	77	1639
45	77	1611
46	78	1590
47	78	1565
48	79	1540
49	79	1511
50	80	1491
51	80	1467
52	80	1444
53	81	1422
54	81	1401
55	81	1380
56	82	1360
57	82	1343
58	83	1324
59	83	1309
60	83	1291
61	84	1275
62	84	1258
63	85	1246
64	85	1231
65	86	1219
66	86	1206
67	87	1193
68	87	1182
69	88	1171
70	88	1159
71	89	1150
72	89	1140
73	90	1129
74	90	1117
75	91	1106
76	91	1096
77	91	1085
78	92	1074
79	92	1063
80	92	1052
81	93	1043
82	93	1033
83	94	1025
84	94	1018
85	95	1011
86	95	1004
87	96	996
88	96	987
89	96	979
90	97	977
91	98	970
92	98	963
93	99	956
94	99	949
95	100	945
96	100	937
97	101	931
98	101	924
99	102	919
100	102	914
101	103	908
102	103	902
103	104	898
104	104	893
105	105	888
106	105	883
107	106	878
108	106	874
109	107	869
110	107	864
111	108	858
112	108	853
113	109	848
114	109	843
115	110	839
116	110	835
117	111	831
118	111	826
119	112	822
120	112	818
121	113	814
122	113	809
123	114	805
124	114	801
125	115	798
126	115	793
127	115	789
128	116	785
129	116	782
130	117	778
131	117	774
132	118	771
133	118	768
134	119	765
135	119	761
136	120	758
137	120	754
138	121	751
139	121	748
140	122	744
141	122	740
142	123	737
143	123	734
144	124	731
145	124	728
146	124	724
147	125	721
148	125	718
149	126	714
150	126	711
151	126	708
152	127	705
153	127	703
154	128	700
155	128	697
156	129	694
157	129	692
158	130	689
159	130	686
160	131	683
161	131	681
162	132	678
163	132	675
164	133	673
165	133	670
166	133	667
167	134	665
168	134	663
169	135	660
170	136	659
171	136	656
172	136	654
173	137	651
174	137	649
175	138	646
176	138	644
177	138	640
178	139	639
179	139	637
180	140	635
181	140	632
182	141	630
183	141	628
184	142	626
185	142	624
186	143	622
187	143	619
188	143	617
189	144	615
190	144	612
191	145	610
192	145	609
193	146	607
194	146	605
195	147	603
196	147	601
197	147	599
198	148	597
199	148	595
200	149	593
201	149	591
202	150	589
203	150	587
204	150	585
205	151	583
206	151	581
207	152	579
208	152	577
209	153	575
210	153	573
211	153	571
212	154	570
213	154	568
214	155	566
215	155	564
216	156	563
217	156	561
218	157	559
219	157	558
220	157	556
221	158	554
222	158	552
223	158	550
224	159	548
225	159	547
226	160	545
227	160	544
228	161	542
229	161	540
230	161	539
231	162	537
232	162	535
233	163	534
234	163	532
235	164	530
236	164	529
237	164	527
238	165	526
239	165	524
240	166	523
241	166	521
242	167	520
243	167	519
244	167	517
245	168	516
246	168	515
247	169	513
248	169	512
249	170	510
250	170	509
251	170	507
252	171	506
253	172	505
254	172	503
255	172	502
256	173	501
257	173	499
258	174	498
259	174	496
260	174	495
261	175	493
262	175	492
263	176	490
264	176	489
265	177	488
266	177	487
267	177	485
268	178	484
269	178	483
270	179	481
271	179	480
272	179	479
273	180	477
274	180	476
275	181	475
276	181	473
277	181	472
278	182	471
279	182	469
280	183	468
281	183	467
282	183	466
283	184	464
284	184	463
285	185	462
286	185	461
287	185	459
288	186	459
289	187	458
290	187	457
291	188	456
292	188	455
293	189	454
294	189	452
295	189	451
296	190	450
297	190	449
298	191	448
299	191	446
300	192	445
301	192	444
302	192	443
303	193	442
304	193	441
305	194	440
306	194	439
307	195	438
308	195	437
309	195	436
310	196	434
311	196	433
312	197	432
313	197	431
314	197	430
315	198	429
316	198	428
317	199	427
318	199	426
319	199	424
320	200	423
321	200	423
322	201	421
323	201	420
324	202	419
325	202	418
326	203	417
327	203	416
328	203	415
329	204	414
330	204	413
331	205	412
332	205	411
333	205	410
334	206	409
335	206	408
336	207	407
337	207	406
338	207	405
339	208	404
340	208	403
341	209	402
342	209	401
343	210	400
344	210	399
345	211	399
346	211	398
347	212	397
348	212	396
349	213	395
350	213	394
351	213	393
352	214	393
353	214	392
354	215	391
355	215	390
356	216	389
357	216	388
358	217	387
